Party,Seat,Party Info
 African National Congress,230,Centre left/cyril RAMAPHOSA
 Democratic Alliance  ,84,Centre/Mmusi maimane
Economic Freedom Fighters ,44,Far Left/JULIUS malema
Inkatha Freedom Party  ,14,Right/Mangosuthu BUTHELEZI
 Freedom Front Plus,10,Right/PIETER GROENEWALD
